date,trend_name,growth_score,seed_term
2026-02-21,chyron,15200,Cologne
2026-02-19,l occitane eau de toilette,13900,eau de toilette
2026-02-17,chyron,12850,Cologne
2026-02-17,chyron sports,9200,Cologne
2026-02-22,pharaoh cologne,2700,Cologne
2026-02-21,pharaoh cologne,2000,Cologne
2026-02-20,pharaoh cologne,1200,Cologne
2026-02-26,fantasy fragrance company,850,Fragrance
2026-02-27,fantasy fragrance company,850,Fragrance
2026-03-01,balmain perfume,800,Perfume
2026-02-28,balmain perfume,650,Perfume
2026-02-28,dream in silk perfume,650,Perfume
2026-02-24,fantasy fragrance company,600,Fragrance
2026-02-23,pharaoh cologne,550,Cologne
2026-02-23,fantasy fragrance company,450,Fragrance
2026-02-20,l occitane eau de toilette,450,eau de toilette
2026-02-22,giorgio armani code men sport eau de toilette spra,400,eau de toilette
2026-02-20,burberry fragrance for him,400,Fragrance
2026-02-17,l occitane eau de toilette,350,eau de toilette
2026-02-17,burberry fragrance for him,300,Fragrance
2026-02-25,kirke cologne,300,Cologne
2026-02-22,fantasy fragrance company,300,Fragrance
2026-03-01,kirke cologne,200,Cologne
2026-02-22,orpheon eau de toilette,180,eau de toilette
2026-02-16,burberry fragrance for him,160,Fragrance
2026-02-16,ysl 6 cologne,150,Cologne
2026-02-27,side effect cologne,150,Cologne
2026-02-21,l occitane eau de toilette,140,eau de toilette
2026-02-26,side effect cologne,140,Cologne
2026-02-23,orpheon eau de toilette,140,eau de toilette
2026-02-25,side effect cologne,130,Cologne
2026-02-26,jimmy choo floral eau de toilette,130,eau de toilette
2026-02-24,orpheon eau de toilette,130,eau de toilette
2026-02-27,whats the difference between eau de toilette and eau de parfum,120,eau de toilette
2026-02-27,perfume jasmine plant,120,Perfume
2026-02-23,l occitane eau de toilette,120,eau de toilette
2026-02-24,side effect cologne,110,Cologne
2026-02-22,arvella fragrance,110,Fragrance
2026-02-23,arvella fragrance,110,Fragrance
2026-02-25,scent and sensibility,110,Scent
2026-02-28,side effect cologne,110,Cologne
2026-02-24,giorgio armani code men sport eau de toilette spra,100,eau de toilette
2026-02-26,perfume jasmine plant,100,Perfume
2026-02-19,tresor perfume,100,Perfume
2026-02-20,tresor perfume,100,Perfume
2026-02-25,orpheon eau de toilette,100,eau de toilette
2026-02-28,nivea eau de toilette,100,eau de toilette
2026-02-22,game of spades cologne,90,Cologne
2026-02-18,tresor perfume,90,Perfume
2026-02-22,eau de toilette pronunciation,90,eau de toilette
2026-02-28,perfume jasmine plant,90,Perfume
2026-02-28,jpg le male eau de toilette,90,eau de toilette
2026-02-28,narciso rodriguez for her eau de toilette,90,eau de toilette
2026-03-01,chanel no 5 eau de toilette,90,eau de toilette
2026-02-22,l occitane eau de toilette,90,eau de toilette
2026-02-21,arvella fragrance,90,Fragrance
2026-02-22,how to pronounce eau de toilette,80,eau de toilette
2026-02-23,game of spades cologne,80,Cologne
2026-02-26,eau de toilette meaning in english,80,eau de toilette
2026-02-16,mix bar marshmallow creme perfume,80,Perfume
2026-02-17,cologne sports,70,Cologne
2026-02-21,eau de toilette pronunciation,70,eau de toilette
2026-02-26,miu miu fragrance,70,Fragrance
2026-02-20,miss dior hair mist,70,Hair mist
2026-02-24,arvella fragrance,70,Fragrance
